device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
j7duo2,org-mozilla-fenix,0,100.0,0.0,-151.75058823529412,4308.0,-243.82,0.096123518706,0.09683001356016,0.00105037656
j7duo2,org-mozilla-fenix,1,100.0,0.0,-169.33512352309344,4308.0,-163.37271750805584,0.08435854302599999,0.08476727864615251,0.0008442199269602576
j7duo2,org-mozilla-fenix,2,100.0,0.0,-172.62165058949626,4308.0,-184.93890675241158,0.08958870704399999,0.08938110729903535,0.0008888424437299033
j7duo2,org-mozilla-fenix,3,100.0,0.0,-171.47317596566523,4308.0,-195.6351931330472,0.08727290933399999,0.08751388573586265,0.0008719909699570813
j7duo2,org-mozilla-fenix,4,100.0,0.0,-173.4908503767492,4308.0,-177.42734122712594,0.09037058104199999,0.09067773043086329,0.0009003488137782561
j7duo2,org-mozilla-fenix,5,100.0,0.0,-160.56330472103005,4308.0,-137.043991416309,0.092331569718,0.09244680145171674,0.0009203265450643777
j7duo2,org-mozilla-fenix,6,100.0,0.0,-158.9087982832618,4308.0,-158.71351931330472,0.080241708372,0.08019708563190128,0.0007992772918454934
j7duo2,org-mozilla-fenix,7,100.0,0.0,-177.862660944206,4308.0,-177.68562231759657,0.086654366694,0.08646127943918884,0.0008611423905579398
j7duo2,org-mozilla-fenix,8,100.0,0.0,-179.21244635193133,4308.0,-214.5450643776824,0.09458410875599998,0.09476105175769955,0.0009435814248927037
j7duo2,org-mozilla-fenix,9,100.0,0.0,-170.90568060021437,4308.0,-235.39871382636656,0.109844078676,0.10977881911115112,0.0010925004887459807
