device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy_trapz,Energy simple (J),Avg power (W)
j7duo2,org-mozilla-fenix,0,100,0,-119.0245464,4308,-155.8089648,0.214417729,0.214288041,0.000711271
j7duo2,org-mozilla-fenix,1,100,0,-102.9613734,4308,-69.24356223,0.168178726,0.168459497,0.000559166
j7duo2,org-mozilla-fenix,2,99,0,-125.4806034,4308,-84.55711207,0.190280446,0.190828479,0.000633801
j7duo2,org-mozilla-fenix,3,100,0,-115.4311633,4308,-147.5795091,0.205123518,0.205951891,0.000683533
j7duo2,org-mozilla-fenix,4,100,0,-93.71244635,4308,-111.2446352,0.181061524,0.18107284,0.000601567
j7duo2,org-mozilla-fenix,5,100,0,-117.1634409,4308,-113.2817204,0.288678147,0.290454226,0.000963009
j7duo2,org-mozilla-fenix,6,99,0,-104.6836403,4308,-125.524377,0.219732575,0.219499739,0.000728388
j7duo2,org-mozilla-fenix,7,100,0,-96.36548767,4308,-103.1607717,0.21199201,0.211819442,0.000703672
j7duo2,org-mozilla-fenix,8,100,0,-121.1264737,4308,-101.4308682,0.190240505,0.189658909,0.000630155
j7duo2,org-mozilla-fenix,9,99,0,-121.1982851,4308,-190.4394427,0.257389583,0.256882913,0.000851626
j7duo2,org-mozilla-fenix,0,100,0,-151.7505882,4308,-243.82,0.288370556,0.290490041,0.001050377
j7duo2,org-mozilla-fenix,1,100,0,-169.3351235,4308,-163.3727175,0.253075629,0.254301836,0.00084422
j7duo2,org-mozilla-fenix,2,100,0,-172.6216506,4308,-184.9389068,0.268766121,0.268143322,0.000888842
j7duo2,org-mozilla-fenix,3,100,0,-171.473176,4308,-195.6351931,0.261818728,0.262541657,0.000871991
j7duo2,org-mozilla-fenix,4,100,0,-173.4908504,4308,-177.4273412,0.271111743,0.272033191,0.000900349
j7duo2,org-mozilla-fenix,5,100,0,-160.5633047,4308,-137.0439914,0.276994709,0.277340404,0.000920327
j7duo2,org-mozilla-fenix,6,100,0,-158.9087983,4308,-158.7135193,0.240725125,0.240591257,0.000799277
j7duo2,org-mozilla-fenix,7,100,0,-177.8626609,4308,-177.6856223,0.2599631,0.259383838,0.000861142
j7duo2,org-mozilla-fenix,8,100,0,-179.2124464,4308,-214.5450644,0.283752326,0.284283155,0.000943581
j7duo2,org-mozilla-fenix,9,100,0,-170.9056806,4308,-235.3987138,0.329532236,0.329336457,0.0010925
